nomeIBGE,ibge7,ibge6,nomeAtlas
Abadia dos Dourados,3100104,310010,Abadia dos Dourados
Abaete,3100203,310020,Abaete
Abre Campo,3100302,310030,Abre Campo
Acaiaca,3100401,310040,Acaiaca
Acucena,3100500,310050,Acucena
Agua Boa,3100609,310060,Agua Boa
Agua Comprida,3100708,310070,Agua Comprida
Aguanil,3100807,310080,Aguanil
Aguas Formosas,3100906,310090,Aguas Formosas
Aguas Vermelhas,3101003,310100,Aguas Vermelhas
Aimores,3101102,310110,Aimores
Aiuruoca,3101201,310120,Aiuruoca
Alagoa,3101300,310130,Alagoa
Albertina,3101409,310140,Albertina
Alem Paraiba,3101508,310150,Alem Paraiba
Alfenas,3101607,310160,Alfenas
Alfredo Vasconcelos,3101631,310163,Alfredo Vasconcelos
Almenara,3101706,310170,Almenara
Alpercata,3101805,310180,Alpercata
Alpinopolis,3101904,310190,Alpinopolis
Alterosa,3102001,310200,Alterosa
Alto Caparao,3102050,310205,Alto Caparao
Alto Rio Doce,3102100,310210,Alto Rio Doce
Alvarenga,3102209,310220,Alvarenga
Alvinopolis,3102308,310230,Alvinopolis
Alvorada de Minas,3102407,310240,Alvorada de Minas
Amparo do Serra,3102506,310250,Amparo do Serra
Andradas,3102605,310260,Andradas
Cachoeira de Pajeu,3102704,310270,Cachoeira de Pajeu
Andrelandia,3102803,310280,Andrelandia
Angelandia,3102852,310285,Angelandia
Antonio Carlos,3102902,310290,Antonio Carlos
Antonio Dias,3103009,310300,Antonio Dias
Antonio Prado de Minas,3103108,310310,Antonio Prado de Minas
Aracai,3103207,310320,Aracai
Aracitaba,3103306,310330,Aracitaba
Aracuai,3103405,310340,Aracuai
Araguari,3103504,310350,Araguari
Arantina,3103603,310360,Arantina
Araponga,3103702,310370,Araponga
Arapora,3103751,310375,Arapora
Arapua,3103801,310380,Arapua
Araujos,3103900,310390,Araujos
Araxa,3104007,310400,Araxa
Arceburgo,3104106,310410,Arceburgo
Arcos,3104205,310420,Arcos
Areado,3104304,310430,Areado
Argirita,3104403,310440,Argirita
Aricanduva,3104452,310445,Aricanduva
Arinos,3104502,310450,Arinos
Astolfo Dutra,3104601,310460,Astolfo Dutra
Ataleia,3104700,310470,Ataleia
Augusto de Lima,3104809,310480,Augusto de Lima
Baependi,3104908,310490,Baependi
Baldim,3105004,310500,Baldim
Bambui,3105103,310510,Bambui
Bandeira,3105202,310520,Bandeira
Bandeira do Sul,3105301,310530,Bandeira do Sul
Barao de Cocais,3105400,310540,Barao de Cocais
Barao de Monte Alto,3105509,310550,Barao de Monte Alto
Barbacena,3105608,310560,Barbacena
Barra Longa,3105707,310570,Barra Longa
Barroso,3105905,310590,Barroso
Bela Vista de Minas,3106002,310600,Bela Vista de Minas
Belmiro Braga,3106101,310610,Belmiro Braga
Belo Horizonte,3106200,310620,Belo Horizonte
Belo Oriente,3106309,310630,Belo Oriente
Belo Vale,3106408,310640,Belo Vale
Berilo,3106507,310650,Berilo
Bertopolis,3106606,310660,Bertopolis
Berizal,3106655,310665,Berizal
Betim,3106705,310670,Betim
Bias Fortes,3106804,310680,Bias Fortes
Bicas,3106903,310690,Bicas
Biquinhas,3107000,310700,Biquinhas
Boa Esperanca,3107109,310710,Boa Esperanca
Bocaina de Minas,3107208,310720,Bocaina de Minas
Bocaiuva,3107307,310730,Bocaiuva
Bom Despacho,3107406,310740,Bom Despacho
Bom Jardim de Minas,3107505,310750,Bom Jardim de Minas
Bom Jesus da Penha,3107604,310760,Bom Jesus da Penha
