ano,populacao,ibge7
2020,7006,3100104
2020,23250,3100203
2020,13444,3100302
2020,3994,3100401
2020,9368,3100500
2020,13523,3100609
2020,1992,3100708
2020,4522,3100807
2020,19247,3100906
2020,13599,3101003
2020,25141,3101102
2020,5976,3101201
2020,2665,3101300
2020,3011,3101409
2020,35401,3101508
2020,80494,3101607
2020,6981,3101631
2020,42143,3101706
2020,7436,3101805
2020,19958,3101904
2020,14517,3102001
2020,5894,3102050
2020,10859,3102100
2020,3844,3102209
2020,15169,3102308
2020,3605,3102407
2020,4678,3102506
2020,41396,3102605
2020,9442,3102704
2020,12206,3102803
2020,8557,3102852
2020,11459,3102902
2020,9275,3103009
2020,1587,3103108
2020,2354,3103207
2020,2059,3103306
2020,36712,3103405
2020,117825,3103504
2020,2787,3103603
2020,8453,3103702
2020,6931,3103751
2020,2835,3103801
2020,9401,3103900
2020,107337,3104007
2020,10883,3104106
2020,40380,3104205
2020,15181,3104304
2020,2704,3104403
2020,5269,3104452
2020,17862,3104502
2020,14270,3104601
2020,12678,3104700
2020,4851,3104809
2020,19199,3104908
2020,7803,3105004
2020,23898,3105103
2020,4766,3105202
2020,5778,3105301
2020,32866,3105400
2020,5354,3105509
2020,138204,3105608
2020,5015,3105707
2020,20897,3105905
2020,10262,3106002
2020,3425,3106101
2020,2521564,3106200
2020,26994,3106309
2020,7719,3106408
2020,11872,3106507
2020,4607,3106606
2020,4764,3106655
2020,444784,3106705
2020,3329,3106804
2020,14554,3106903
2020,2498,3107000
2020,40219,3107109
2020,5089,3107208
2020,50256,3107307
2020,51028,3107406
2020,6459,3107505
2020,4244,3107604
2020,6133,3107703
2020,14862,3107802
2020,10537,3107901
2020,17607,3108008
2020,6860,3108107
2020,5444,3108206
2020,11369,3108255
2020,19614,3108305
2020,14949,3108404
2020,6288,3108503
2020,16748,3108552
2020,32405,3108602
2020,4293,3108701
2020,4769,3108800
2020,14410,3108909
2020,40666,3109006
2020,10991,3109105
2020,10353,3109204
2020,3983,3109253
2020,25013,3109303
2020,28121,3109402
2020,6988,3109451
2020,14075,3109501
2020,3591,3109600
2020,11579,3109709
2020,2706,3109808
2020,11749,3109907
2020,45047,3110004
2020,5541,3110103
2020,3974,3110202
2020,14541,3110301
2020,2869,3110400
2020,21801,3110509
2020,29814,3110608
2020,12812,3110707
2020,3730,3110806
2020,16762,3110905
2020,21054,3111002
2020,19752,3111101
2020,3824,3111150
2020,54186,3111200
2020,11651,3111309
2020,8269,3111408
2020,15563,3111507
2020,28842,3111606
2020,4548,3111705
2020,12201,3111804
2020,5594,3111903
2020,14888,3112000
2020,4551,3112059
2020,5451,3112109
2020,4634,3112208
2020,38057,3112307
2020,6890,3112406
2020,9826,3112505
2020,16234,3112604
2020,5514,3112653
2020,15313,3112703
2020,8663,3112802
2020,9308,3112901
2020,23780,3113008
2020,3166,3113107
2020,25669,3113206
2020,33011,3113305
2020,92603,3113404
2020,9414,3113503
2020,6792,3113602
2020,18674,3113701
2020,2646,3113800
2020,12182,3113909
2020,11511,3114006
2020,14947,3114105
2020,22693,3114204
2020,30334,3114303
2020,21268,3114402
2020,19559,3114501
2020,10066,3114550
2020,4049,3114600
2020,3597,3114709
2020,4461,3114808
2020,2254,3114907
2020,3092,3115003
2020,17740,3115102
2020,3946,3115201
2020,75540,3115300
2020,5421,3115359
2020,3653,3115409
2020,6257,3115458
2020,4965,3115474
2020,21610,3115508
2020,1157,3115607
2020,7046,3115706
2020,10346,3115805
2020,3186,3115904
2020,5699,3116001
2020,15345,3116100
2020,13953,3116159
2020,2671,3116209
2020,6799,3116308
2020,4853,3116407
2020,7514,3116506
2020,28859,3116605
2020,7594,3116704
2020,8841,3116803
2020,3120,3116902
2020,6774,3117009
2020,10322,3117108
2020,2813,3117207
2020,28346,3117306
2020,4578,3117405
2020,17503,3117504
2020,5533,3117603
2020,13684,3117702
2020,11748,3117801
2020,7686,3117836
2020,6800,3117876
2020,12082,3117900
2020,55309,3118007
2020,5046,3118106
2020,6969,3118205
2020,129606,3118304
2020,22949,3118403
2020,1784,3118502
2020,668949,3118601
2020,9128,3118700
2020,26611,3118809
2020,8897,3118908
2020,3542,3119005
2020,23668,3119104
2020,9943,3119203
2020,27966,3119302
2020,110290,3119401
2020,9215,3119500
2020,3090,3119609
2020,3441,3119708
2020,3191,3119807
2020,3694,3119906
2020,6382,3119955
2020,2728,3120003
2020,4423,3120102
2020,6760,3120151
2020,12931,3120201
2020,5982,3120300
2020,5156,3120409
2020,10226,3120508
2020,5054,3120607
2020,3639,3120706
2020,15474,3120805
2020,5005,3120839
2020,7799,3120870
2020,80616,3120904
2020,5421,3121001
2020,8016,3121100
2020,7131,3121209
2020,10768,3121258
2020,5029,3121308
2020,7255,3121407
2020,2884,3121506
2020,47825,3121605
2020,3790,3121704
2020,7609,3121803
2020,3424,3121902
2020,19976,3122009
2020,4974,3122108
2020,7614,3122207
2020,240408,3122306
2020,6868,3122355
2020,6025,3122405
2020,11211,3122454
2020,3655,3122470
2020,5048,3122504
2020,4451,3122603
2020,5232,3122702
2020,2997,3122801
2020,6619,3122900
2020,10223,3123007
2020,5154,3123106
2020,13427,3123205
2020,4230,3123304
2020,1533,3123403
2020,1912,3123502
2020,7870,3123528
2020,28320,3123601
2020,11202,3123700
2020,7241,3123809
2020,5377,3123858
2020,15380,3123908
2020,18958,3124005
2020,71551,3124104
2020,25122,3124203
2020,31610,3124302
2020,4710,3124401
2020,11386,3124500
2020,2325,3124609
2020,3491,3124708
2020,8018,3124807
2020,11330,3124906
2020,3923,3125002
2020,36951,3125101
2020,2376,3125200
2020,3221,3125309
2020,4704,3125408
2020,3173,3125507
2020,7504,3125606
2020,15433,3125705
2020,3466,3125804
2020,9696,3125903
2020,11054,3125952
2020,7533,3126000
2020,67822,3126109
2020,9688,3126208
2020,4437,3126307
2020,2967,3126406
2020,10321,3126505
2020,5242,3126604
2020,26369,3126703
2020,5338,3126752
2020,5869,3126802
2020,9664,3126901
2020,3487,3126950
2020,18492,3127008
2020,4561,3127057
2020,5299,3127073
2020,60012,3127107
2020,4392,3127206
2020,6790,3127305
2020,5096,3127339
2020,3164,3127354
2020,3378,3127370
2020,3990,3127388
2020,4355,3127404
2020,6171,3127503
2020,11818,3127602
2020,281046,3127701
2020,15890,3127800
2020,1387,3127909
2020,34573,3128006
2020,14258,3128105
2020,10315,3128204
2020,4989,3128253
2020,19017,3128303
2020,8918,3128402
2020,3775,3128501
2020,6569,3128600
2020,52078,3128709
2020,7051,3128808
2020,8105,3128907
2020,8343,3129004
2020,5577,3129103
2020,6591,3129202
2020,11045,3129301
2020,5010,3129400
2020,25358,3129509
2020,8437,3129608
2020,5369,3129657
2020,13986,3129707
2020,182153,3129806
2020,3492,3129905
2020,2996,3130002
2020,12097,3130051
2020,43817,3130101
2020,11005,3130200
2020,7923,3130309
2020,6610,3130408
2020,12444,3130507
2020,6940,3130556
2020,7358,3130606
2020,7339,3130655
2020,6951,3130705
2020,2776,3130804
2020,24079,3130903
2020,6312,3131000
2020,7560,3131109
2020,18769,3131158
2020,20000,3131208
2020,265409,3131307
2020,4225,3131406
2020,10118,3131505
2020,7027,3131604
2020,120904,3131703
2020,11576,3131802
2020,52446,3131901
2020,5417,3132008
2020,18164,3132107
2020,13435,3132206
2020,12836,3132305
2020,97334,3132404
2020,34936,3132503
2020,4375,3132602
2020,23209,3132701
2020,2056,3132800
2020,10157,3132909
2020,15714,3133006
2020,15423,3133105
2020,12244,3133204
2020,21029,3133303
2020,15379,3133402
2020,21761,3133501
2020,9881,3133600
2020,11252,3133709
2020,16199,3133758
2020,93847,3133808
2020,5369,3133907
2020,15022,3134004
2020,6063,3134103
2020,105255,3134202
2020,6000,3134301
2020,39690,3134400
2020,3768,3134509
2020,20418,3134608
2020,12323,3134707
2020,7691,3134806
2020,26264,3134905
2020,3142,3135001
2020,39388,3135050
2020,5429,3135076
2020,72018,3135100
2020,67852,3135209
2020,4384,3135308
2020,7982,3135357
2020,4852,3135407
2020,7738,3135456
2020,12315,3135506
2020,7468,3135605
2020,5207,3135704
2020,25474,3135803
2020,4780,3135902
2020,15455,3136009
2020,4476,3136108
2020,80416,3136207
2020,47726,3136306
2020,4727,3136405
2020,10842,3136504
2020,4487,3136520
2020,5050,3136553
2020,4889,3136579
2020,5732,3136603
2020,27392,3136652
2020,573285,3136702
2020,4345,3136801
2020,10681,3136900
2020,5715,3136959
2020,18193,3137007
2020,7600,3137106
2020,52711,3137205
2020,4082,3137304
2020,13063,3137403
2020,18111,3137502
2020,9608,3137536
2020,65657,3137601
2020,19918,3137700
2020,20907,3137809
2020,3379,3137908
2020,6833,3138005
2020,6503,3138104
2020,104783,3138203
2020,3226,3138302
2020,4920,3138351
2020,52640,3138401
2020,5031,3138500
2020,16724,3138609
2020,7589,3138625
2020,9714,3138658
2020,6258,3138674
2020,6718,3138682
2020,5438,3138708
2020,18257,3138807
2020,7111,3138906
2020,42413,3139003
2020,5109,3139102
2020,18602,3139201
2020,6554,3139250
2020,18226,3139300
2020,91169,3139409
2020,22802,3139508
2020,27647,3139607
2020,8046,3139706
2020,12901,3139805
2020,14056,3139904
2020,61288,3140001
2020,4097,3140100
2020,15619,3140159
2020,2987,3140209
2020,4034,3140308
2020,2728,3140407
2020,13443,3140506
2020,8531,3140530
2020,8644,3140555
2020,4436,3140605
2020,31364,3140704
2020,14548,3140803
2020,11260,3140852
2020,19005,3140902
2020,12412,3141009
2020,38151,3141108
2020,3741,3141207
2020,3832,3141306
2020,20759,3141405
2020,6446,3141504
2020,10758,3141603
2020,5546,3141702
2020,31497,3141801
2020,3893,3141900
2020,13620,3142007
2020,10787,3142106
2020,15111,3142205
2020,4914,3142254
2020,4934,3142304
2020,7554,3142403
2020,2202,3142502
2020,8727,3142601
2020,14747,3142700
2020,21236,3142809
2020,20696,3142908
2020,13152,3143005
2020,47931,3143104
2020,4923,3143153
2020,21513,3143203
2020,413487,3143302
2020,24029,3143401
2020,8315,3143450
2020,8910,3143500
2020,2437,3143609
2020,3153,3143708
2020,5994,3143807
2020,109392,3143906
2020,26961,3144003
2020,20545,3144102
2020,3220,3144201
2020,40665,3144300
2020,7051,3144359
2020,3308,3144375
2020,4728,3144409
2020,8660,3144508
2020,26826,3144607
2020,10326,3144656
2020,3128,3144672
2020,17551,3144706
2020,96157,3144805
2020,3573,3144904
2020,15800,3145000
2020,7497,3145059
2020,16832,3145109
2020,105520,3145208
2020,31335,3145307
2020,10778,3145356
2020,5324,3145372
2020,1720,3145406
2020,6171,3145455
2020,2809,3145505
2020,41840,3145604
2020,2130,3145703
2020,3152,3145802
2020,4663,3145851
2020,8079,3145877
2020,39867,3145901
2020,33791,3146008
2020,74558,3146107
2020,5914,3146206
2020,6423,3146255
2020,20252,3146305
2020,4462,3146404
2020,8296,3146503
2020,6094,3146552
2020,1523,3146602
2020,6611,3146701
2020,5349,3146750
2020,15800,3146909
2020,93862,3147006
2020,94808,3147105
2020,21605,3147204
2020,21221,3147303
2020,24700,3147402
2020,1633,3147501
2020,16393,3147600
2020,8057,3147709
2020,2031,3147808
2020,115337,3147907
2020,6002,3147956
2020,153585,3148004
2020,91449,3148103
2020,5715,3148202
2020,9584,3148301
2020,4812,3148400
2020,8419,3148509
2020,17537,3148608
2020,24329,3148707
2020,7128,3148756
2020,3005,3148806
2020,3974,3148905
2020,2532,3149002
2020,11146,3149101
2020,12212,3149150
2020,3643,3149200
2020,64712,3149309
2020,1806,3149408
2020,3330,3149507
2020,4432,3149606
2020,11755,3149705
2020,16321,3149804
2020,21485,3149903
2020,6773,3149952
2020,4256,3150000
2020,2733,3150109
2020,8702,3150158
2020,4140,3150208
2020,4466,3150307
2020,5009,3150406
2020,8688,3150505
2020,4986,3150539
2020,7524,3150570
2020,6398,3150604
2020,6348,3150703
2020,17634,3150802
2020,5488,3150901
2020,8640,3151008
2020,10772,3151107
2020,56640,3151206
2020,10759,3151305
2020,28215,3151404
2020,34918,3151503
2020,12292,3151602
2020,16846,3151701
2020,168641,3151800
2020,8359,3151909
2020,32035,3152006
2020,59875,3152105
2020,4283,3152131
2020,12179,3152170
2020,37864,3152204
2020,11348,3152303
2020,16616,3152402
2020,152549,3152501
2020,5900,3152600
2020,9080,3152709
2020,28017,3152808
2020,8566,3152907
2020,3631,3153004
2020,5341,3153103
2020,3606,3153202
2020,3001,3153301
2020,19627,3153400
2020,8301,3153509
2020,10834,3153608
2020,3584,3153707
2020,1943,3153806
2020,16429,3153905
2020,23711,3154002
2020,10520,3154101
2020,7201,3154150
2020,11540,3154200
2020,17396,3154309
2020,4817,3154408
2020,8134,3154457
2020,9476,3154507
2020,338197,3154606
2020,4047,3154705
2020,10420,3154804
2020,13473,3154903
2020,2620,3155009
2020,5133,3155108
2020,5402,3155207
2020,5879,3155306
2020,8957,3155405
2020,12335,3155504
2020,31045,3155603
2020,14332,3155702
2020,17959,3155801
2020,5485,3155900
2020,12739,3156007
2020,4562,3156106
2020,2320,3156205
2020,8224,3156304
2020,3520,3156403
2020,4622,3156452
2020,5798,3156502
2020,10256,3156601
2020,137125,3156700
2020,15416,3156809
2020,26374,3156908
2020,41699,3157005
2020,7012,3157104
2020,31604,3157203
2020,8181,3157252
2020,3182,3157278
2020,4407,3157302
2020,8664,3157336
2020,4107,3157377
2020,4725,3157401
2020,4381,3157500
2020,3826,3157609
2020,6386,3157658
2020,14255,3157708
2020,220444,3157807
2020,16302,3157906
2020,10857,3158003
2020,5217,3158102
2020,14611,3158201
2020,7073,3158300
2020,3891,3158409
2020,7589,3158508
2020,3981,3158607
2020,2476,3158706
2020,4834,3158805
2020,8667,3158904
2020,35369,3158953
2020,4315,3159001
2020,3765,3159100
2020,8924,3159209
2020,4863,3159308
2020,7268,3159357
2020,3402,3159407
2020,5457,3159506
2020,43753,3159605
2020,3357,3159704
2020,19872,3159803
2020,18613,3159902
2020,3602,3160009
2020,3886,3160108
2020,3799,3160207
2020,11604,3160306
2020,28427,3160405
2020,7297,3160454
2020,1760,3160504
2020,3065,3160603
2020,46421,3160702
2020,5349,3160801
2020,3754,3160900
2020,5658,3160959
2020,17327,3161007
2020,3362,3161056
2020,56477,3161106
2020,6520,3161205
2020,6274,3161304
2020,4800,3161403
2020,12562,3161502
2020,3910,3161601
2020,4059,3161650
2020,8459,3161700
2020,12597,3161809
2020,11019,3161908
2020,25561,3162005
2020,35782,3162104
2020,7498,3162203
2020,4932,3162252
2020,2746,3162302
2020,25098,3162401
2020,13125,3162450
2020,90497,3162500
2020,11674,3162559
2020,5918,3162575
2020,7444,3162609
2020,4448,3162658
2020,23709,3162708
2020,15767,3162807
2020,26447,3162906
2020,32148,3162922
2020,7480,3162948
2020,24135,3162955
2020,4280,3163003
2020,5079,3163102
2020,4210,3163201
2020,3856,3163300
2020,5387,3163409
2020,6431,3163508
2020,2806,3163607
2020,46202,3163706
2020,6944,3163805
2020,4610,3163904
2020,7706,3164001
2020,5202,3164100
2020,12529,3164209
2020,7076,3164308
2020,5552,3164407
2020,3024,3164431
2020,6627,3164472
2020,9963,3164506
2020,6863,3164605
2020,71445,3164704
2020,1492,3164803
2020,2250,3164902
2020,10960,3165008
2020,7000,3165107
2020,7120,3165206
2020,7815,3165305
2020,6989,3165404
2020,6361,3165503
2020,33413,3165537
2020,12378,3165552
2020,2606,3165560
2020,5361,3165578
2020,2003,3165602
2020,7858,3165701
2020,1461,3165800
2020,4105,3165909
2020,5786,3166006
2020,3519,3166105
2020,10467,3166204
2020,7333,3166303
2020,1854,3166402
2020,4292,3166501
2020,776,3166600
2020,8713,3166709
2020,11668,3166808
2020,7668,3166907
2020,4809,3166956
2020,1956,3167004
2020,20940,3167103
2020,241835,3167202
2020,2264,3167301
2020,6248,3167400
2020,2618,3167509
2020,19736,3167608
2020,5514,3167707
2020,6189,3167806
2020,3708,3167905
2020,34397,3168002
2020,3101,3168051
2020,4832,3168101
2020,1872,3168200
2020,4099,3168309
2020,14302,3168408
2020,11670,3168507
2020,140937,3168606
2020,90568,3168705
2020,8072,3168804
2020,6424,3168903
2020,16715,3169000
2020,4109,3169059
2020,6297,3169109
2020,7850,3169208
2020,80032,3169307
2020,32716,3169356
2020,56940,3169406
2020,6765,3169505
2020,25398,3169604
2020,20125,3169703
2020,5070,3169802
2020,116797,3169901
2020,12599,3170008
2020,12493,3170057
2020,337092,3170107
2020,699097,3170206
2020,2596,3170305
2020,84930,3170404
2020,4284,3170438
2020,3260,3170479
2020,10345,3170503
2020,17173,3170529
2020,6470,3170578
2020,2148,3170602
2020,5026,3170651
2020,136602,3170701
2020,7138,3170750
2020,39803,3170800
2020,19305,3170909
2020,20642,3171006
2020,9443,3171030
2020,5727,3171071
2020,4045,3171105
2020,4846,3171154
2020,129765,3171204
2020,79388,3171303
2020,3589,3171402
2020,3179,3171501
2020,13740,3171600
2020,8663,3171709
2020,10484,3171808
2020,5340,3171907
2020,42965,3172004
2020,5261,3172103
2020,2548,3172202
2021,7022,3100104
2021,23263,3100203
2021,13434,3100302
2021,3995,3100401
2021,9270,3100500
2021,13319,3100609
2021,1986,3100708
2021,4557,3100807
2021,19285,3100906
2021,13656,3101003
2021,25116,3101102
2021,5949,3101201
2021,2657,3101300
2021,3015,3101409
2021,35438,3101508
2021,80973,3101607
2021,7052,3101631
2021,42380,3101706
2021,7448,3101805
2021,20059,3101904
2021,14566,3102001
2021,5938,3102050
2021,10723,3102100
2021,3783,3102209
2021,15135,3102308
2021,3605,3102407
2021,4643,3102506
2021,41704,3102605
2021,9470,3102704
2021,12189,3102803
2021,8594,3102852
2021,11471,3102902
2021,9233,3103009
2021,1577,3103108
2021,2360,3103207
2021,2056,3103306
2021,36715,3103405
2021,118361,3103504
2021,2779,3103603
2021,8467,3103702
2021,6992,3103751
2021,2836,3103801
2021,9523,3103900
2021,108403,3104007
2021,10990,3104106
2021,40658,3104205
2021,15288,3104304
2021,2681,3104403
2021,5305,3104452
2021,17850,3104502
2021,14358,3104601
2021,12496,3104700
2021,4833,3104809
2021,19249,3104908
2021,7780,3105004
2021,23964,3105103
2021,4738,3105202
2021,5808,3105301
2021,33232,3105400
2021,5311,3105509
2021,139061,3105608
2021,4905,3105707
2021,20981,3105905
2021,10269,3106002
2021,3422,3106101
2021,2530701,3106200
2021,27277,3106309
2021,7723,3106408
2021,11813,3106507
2021,4609,3106606
2021,4792,3106655
2021,450024,3106705
2021,3282,3106804
2021,14612,3106903
2021,2482,3107000
