ibge6,ano,subfuncao,vl_emp,vl_liq,vl_pg
313510,2018,242,196624.03,174221.69,15472.19
317130,2018,242,24000.0,20000.0,16000.0
317130,2018,301,1008449.92,600300.17,287124.83
310160,2018,301,300000.0,300000.0,300000.0
310340,2018,301,300000.0,300000.0,300000.0
310660,2018,301,300000.0,300000.0,300000.0
311170,2018,301,150000.0,150000.0,150000.0
314520,2018,301,1040000.0,600000.0,600000.0
315220,2018,301,800000.0,800000.0,800000.0
317200,2018,301,150000.0,150000.0,150000.0
310090,2018,302,1422995.43,1332847.43,1159537.0
310110,2018,302,1200000.0,1200000.0,1175000.0
310150,2018,302,1308573.33,1291493.34,1157920.01
310160,2018,302,6518816.79,4886164.15,226327.72
310170,2018,302,1884176.35,1623539.36,1223870.15
310210,2018,302,480000.0,480000.0,470000.0
310260,2018,302,1725078.87,1444279.81,1169342.83
310280,2018,302,480000.0,465428.79,455428.79
310340,2018,302,1777050.59,1590088.41,1212712.29
310350,2018,302,1973418.06,1605005.28,85251.24
310400,2018,302,1292067.36,961473.71,83607.09
310490,2018,302,2809995.67,1759872.91,1533333.36
310510,2018,302,480000.0,480000.0,470000.0
310540,2018,302,480000.0,480000.0,470000.0
310560,2018,302,7169184.89,5846406.43,3718293.95
310620,2018,302,264129613.72,246549239.15,154723179.03
310640,2018,302,480000.0,480000.0,470000.0
310670,2018,302,24814061.86,23119307.42,187110.75
310730,2018,302,1793273.17,1354378.35,1213594.59
310740,2018,302,2154009.2,1917977.0,1139909.26
310750,2018,302,480000.0,423999.99,413999.99
310780,2018,302,1200000.0,1036087.98,1022754.65
310860,2018,302,4700525.06,4326871.11,3359276.02
311000,2018,302,1200000.0,1200000.0,1175000.0
311050,2018,302,480000.0,480000.0,470000.0
311120,2018,302,5087320.79,4753080.47,3094041.85
311230,2018,302,992598.71,907166.2,824548.05
311320,2018,302,1211579.9,1211579.9,1175000.0
311330,2018,302,1200000.0,1181547.99,1157228.16
311340,2018,302,9782739.13,7746225.13,5622809.22
311370,2018,302,480000.0,480000.0,470000.0
311440,2018,302,480000.0,480000.0,470000.0
311460,2018,302,480000.0,480000.0,470000.0
311510,2018,302,1200000.0,1198851.99,1173851.99
311530,2018,302,2428904.44,1783989.77,990751.7
311800,2018,302,2350027.27,2278407.77,1185403.31
311830,2018,302,3223408.67,2859211.56,2360244.51
311840,2018,302,480000.0,480000.0,470000.0
311860,2018,302,14468998.72,13075328.81,2035756.85
311880,2018,302,735472.67,679508.93,481366.95
311940,2018,302,13160020.32,12025351.96,3691005.08
312090,2018,302,3934281.34,3370325.28,2485135.25
312120,2018,302,480000.0,480000.0,470000.0
312160,2018,302,9083008.92,8221294.56,4371118.59
312180,2018,302,480000.0,423999.99,418666.66
312210,2018,302,480000.0,480000.0,470000.0
312230,2018,302,29985989.8,25373015.91,17780019.79
312320,2018,302,480000.0,480000.0,470000.0
312400,2018,302,480000.0,480000.0,470000.0
312410,2018,302,1200000.0,1200000.0,1175000.0
312510,2018,302,1200000.0,1057704.0,1044370.67
312560,2018,302,480000.0,480000.0,470000.0
312590,2018,302,480000.0,480000.0,470000.0
312610,2018,302,2968370.45,2854746.44,2111267.99
312670,2018,302,876018.83,533387.56,208001.57
312690,2018,302,480000.0,480000.0,470000.0
312710,2018,302,1704815.0,1484050.03,517378.99
312770,2018,302,30799398.38,28786155.47,7940018.1
312800,2018,302,1735721.32,1552085.59,1142847.48
312810,2018,302,480000.0,423999.99,413999.99
312870,2018,302,2854097.43,2612670.67,2350000.0
312940,2018,302,16071.15,6887.56,860.95
313030,2018,302,480000.0,480000.0,470000.0
313130,2018,302,33451744.05,30172543.5,7943762.78
313170,2018,302,8908970.72,8030820.55,5662063.62
313180,2018,302,480000.0,480000.0,470000.0
313190,2018,302,2131474.93,2055685.1,1187374.24
313220,2018,302,480000.0,480000.0,470000.0
313240,2018,302,5482370.48,4563498.4,2535940.2
313250,2018,302,480000.0,480000.0,470000.0
313270,2018,302,1394541.09,1309276.16,1186465.61
313320,2018,302,480000.0,480000.0,470000.0
313330,2018,302,1200000.0,1200000.0,1175000.0
313350,2018,302,480000.0,480000.0,470000.0
313380,2018,302,3077317.94,2890436.42,2402009.41
313420,2018,302,1391168.19,1013290.97,68795.4
313460,2018,302,480000.0,480000.0,470000.0
313470,2018,302,480000.0,480000.0,470000.0
313510,2018,302,8013774.05,7277513.97,3672343.27
313520,2018,302,2109475.97,1882233.0,1734971.17
313580,2018,302,4927125.28,4927125.27,4175937.73
313600,2018,302,480000.0,480000.0,470000.0
313620,2018,302,3465771.87,3145229.08,2390553.63
313630,2018,302,618654.54,373341.27,10039.16
313670,2018,302,32805124.99,26382806.05,11300813.49
313720,2018,302,1809887.47,1722292.97,1169509.65
313760,2018,302,132270.89,99952.34,4039.69
313820,2018,302,2829806.75,2301546.35,663013.61
313840,2018,302,2083436.29,2066356.3,1831687.26
313860,2018,302,1299341.68,1220563.16,1152260.31
313880,2018,302,1200000.0,1179350.01,1154350.01
313900,2018,302,1316275.15,1220788.74,1130489.75
313920,2018,302,603979.91,506566.83,476641.71
313930,2018,302,587033.66,480000.0,470000.0
313940,2018,302,3889685.3,3086971.04,1160638.01
313960,2018,302,1243950.02,1179126.63,1142916.66
314140,2018,302,480000.0,480000.0,470000.0
314180,2018,302,579887.46,579887.46,470000.0
314190,2018,302,480000.0,480000.0,470000.0
314270,2018,302,480000.0,480000.0,470000.0
314290,2018,302,1482923.12,1415758.75,1191791.1
314330,2018,302,15696102.3,6826649.66,4999956.0
314350,2018,302,480000.0,423999.99,413999.99
314390,2018,302,3308930.41,3308930.4,3019942.0
314430,2018,302,1345610.38,1059123.76,981853.8
314450,2018,302,480000.0,480000.0,470000.0
314520,2018,302,1005678.04,492553.04,286875.0
314530,2018,302,480000.0,480000.0,470000.0
314560,2018,302,3680344.26,3680344.26,3525000.0
314600,2018,302,1200000.0,1195351.98,1170643.65
314610,2018,302,4228925.4,3962255.21,2487900.31
314630,2018,302,565008.05,520479.42,474553.95
314710,2018,302,3854364.65,3526275.97,2420333.06
314730,2018,302,480000.0,479535.21,469573.94
314760,2018,302,480000.0,480000.0,470000.0
314770,2018,302,480000.0,480000.0,470000.0
314790,2018,302,3019620.45,3019620.45,1175000.0
314800,2018,302,9972081.25,7791583.86,2183733.36
314810,2018,302,4438372.83,3979846.99,2061701.52
314860,2018,302,1200000.0,1200000.0,1175000.0
314870,2018,302,1200000.0,1200000.0,1175000.0
314930,2018,302,1282515.75,862515.72,766666.64
315080,2018,302,480000.0,479546.4,469546.4
