nome,ibge7,ibge6
Abadia dos Dourados,3100104,310010
Abaete,3100203,310020
Abre Campo,3100302,310030
Acaiaca,3100401,310040
Acucena,3100500,310050
Agua Boa,3100609,310060
Agua Comprida,3100708,310070
Aguanil,3100807,310080
Aguas Formosas,3100906,310090
Aguas Vermelhas,3101003,310100
Aimores,3101102,310110
Aiuruoca,3101201,310120
Alagoa,3101300,310130
Albertina,3101409,310140
Alem Paraiba,3101508,310150
Alfenas,3101607,310160
Alfredo Vasconcelos,3101631,310163
Almenara,3101706,310170
Alpercata,3101805,310180
Alpinopolis,3101904,310190
Alterosa,3102001,310200
Alto Caparao,3102050,310205
Alto Rio Doce,3102100,310210
Alvarenga,3102209,310220
Alvinopolis,3102308,310230
Alvorada de Minas,3102407,310240
Amparo do Serra,3102506,310250
Andradas,3102605,310260
Cachoeira de Pajeu,3102704,310270
Andrelandia,3102803,310280
Angelandia,3102852,310285
Antonio Carlos,3102902,310290
Antonio Dias,3103009,310300
Antonio Prado de Minas,3103108,310310
Aracai,3103207,310320
Aracitaba,3103306,310330
Aracuai,3103405,310340
Araguari,3103504,310350
Arantina,3103603,310360
Araponga,3103702,310370
Arapora,3103751,310375
Arapua,3103801,310380
Araujos,3103900,310390
Araxa,3104007,310400
Arceburgo,3104106,310410
Arcos,3104205,310420
Areado,3104304,310430
Argirita,3104403,310440
Aricanduva,3104452,310445
Arinos,3104502,310450
Astolfo Dutra,3104601,310460
Ataleia,3104700,310470
Augusto de Lima,3104809,310480
Baependi,3104908,310490
Baldim,3105004,310500
Bambui,3105103,310510
Bandeira,3105202,310520
Bandeira do Sul,3105301,310530
Barao de Cocais,3105400,310540
Barao de Monte Alto,3105509,310550
Barbacena,3105608,310560
Barra Longa,3105707,310570
Barroso,3105905,310590
Bela Vista de Minas,3106002,310600
Belmiro Braga,3106101,310610
Belo Horizonte,3106200,310620
Belo Oriente,3106309,310630
Belo Vale,3106408,310640
Berilo,3106507,310650
Bertopolis,3106606,310660
Berizal,3106655,310665
Betim,3106705,310670
Bias Fortes,3106804,310680
Bicas,3106903,310690
Biquinhas,3107000,310700
Boa Esperanca,3107109,310710
Bocaina de Minas,3107208,310720
Bocaiuva,3107307,310730
Bom Despacho,3107406,310740
Bom Jardim de Minas,3107505,310750
Bom Jesus da Penha,3107604,310760
Bom Jesus do Amparo,3107703,310770
Bom Jesus do Galho,3107802,310780
Bom Repouso,3107901,310790
Bom Sucesso,3108008,310800
Bonfim,3108107,310810
Bonfinopolis de Minas,3108206,310820
Bonito de Minas,3108255,310825
Borda da Mata,3108305,310830
Botelhos,3108404,310840
Botumirim,3108503,310850
Brasilandia de Minas,3108552,310855
Brasilia de Minas,3108602,310860
Bras Pires,3108701,310870
Braunas,3108800,310880
Brazopolis,3108909,310890
Brumadinho,3109006,310900
Bueno Brandao,3109105,310910
Buenopolis,3109204,310920
Bugre,3109253,310925
Buritis,3109303,310930
Buritizeiro,3109402,310940
Cabeceira Grande,3109451,310945
Cabo Verde,3109501,310950
Cachoeira da Prata,3109600,310960
Cachoeira de Minas,3109709,310970
Cachoeira Dourada,3109808,310980
Caetanopolis,3109907,310990
Caete,3110004,311000
Caiana,3110103,311010
Cajuri,3110202,311020
Caldas,3110301,311030
Camacho,3110400,311040
Camanducaia,3110509,311050
Cambui,3110608,311060
Cambuquira,3110707,311070
Campanario,3110806,311080
Campanha,3110905,311090
Campestre,3111002,311100
Campina Verde,3111101,311110
Campo Azul,3111150,311115
Campo Belo,3111200,311120
Campo do Meio,3111309,311130
Campo Florido,3111408,311140
Campos Altos,3111507,311150
Campos Gerais,3111606,311160
Canaa,3111705,311170
Canapolis,3111804,311180
Cana Verde,3111903,311190
Candeias,3112000,311200
Cantagalo,3112059,311205
Caparao,3112109,311210
Capela Nova,3112208,311220
Capelinha,3112307,311230
Capetinga,3112406,311240
Capim Branco,3112505,311250
Capinopolis,3112604,311260
Capitao Andrade,3112653,311265
Capitao Eneas,3112703,311270
Capitolio,3112802,311280
Caputira,3112901,311290
Carai,3113008,311300
Caranaiba,3113107,311310
Carandai,3113206,311320
Carangola,3113305,311330
Caratinga,3113404,311340
Carbonita,3113503,311350
Careacu,3113602,311360
Carlos Chagas,3113701,311370
Carmesia,3113800,311380
Carmo da Cachoeira,3113909,311390
Carmo da Mata,3114006,311400
Carmo de Minas,3114105,311410
Carmo do Cajuru,3114204,311420
Carmo do Paranaiba,3114303,311430
Carmo do Rio Claro,3114402,311440
Carmopolis de Minas,3114501,311450
Carneirinho,3114550,311455
Carrancas,3114600,311460
Carvalhopolis,3114709,311470
Carvalhos,3114808,311480
Casa Grande,3114907,311490
Cascalho Rico,3115003,311500
Cassia,3115102,311510
Conceicao da Barra de Minas,3115201,311520
Cataguases,3115300,311530
Catas Altas,3115359,311535
Catas Altas da Noruega,3115409,311540
Catuji,3115458,311545
Catuti,3115474,311547
Caxambu,3115508,311550
Cedro do Abaete,3115607,311560
Central de Minas,3115706,311570
Centralina,3115805,311580
Chacara,3115904,311590
Chale,3116001,311600
Chapada do Norte,3116100,311610
Chapada Gaucha,3116159,311615
Chiador,3116209,311620
Cipotanea,3116308,311630
Claraval,3116407,311640
Claro dos Pocoes,3116506,311650
Claudio,3116605,311660
Coimbra,3116704,311670
Coluna,3116803,311680
Comendador Gomes,3116902,311690
Comercinho,3117009,311700
Conceicao da Aparecida,3117108,311710
Conceicao das Pedras,3117207,311720
Conceicao das Alagoas,3117306,311730
Conceicao de Ipanema,3117405,311740
Conceicao do Mato Dentro,3117504,311750
Conceicao do Para,3117603,311760
Conceicao do Rio Verde,3117702,311770
Conceicao dos Ouros,3117801,311780
Conego Marinho,3117836,311783
Confins,3117876,311787
Congonhal,3117900,311790
Congonhas,3118007,311800
Congonhas do Norte,3118106,311810
Conquista,3118205,311820
Conselheiro Lafaiete,3118304,311830
Conselheiro Pena,3118403,311840
Consolacao,3118502,311850
Contagem,3118601,311860
Coqueiral,3118700,311870
Coracao de Jesus,3118809,311880
Cordisburgo,3118908,311890
Cordislandia,3119005,311900
Corinto,3119104,311910
Coroaci,3119203,311920
Coromandel,3119302,311930
Coronel Fabriciano,3119401,311940
Coronel Murta,3119500,311950
Coronel Pacheco,3119609,311960
Coronel Xavier Chaves,3119708,311970
Corrego Danta,3119807,311980
Corrego do Bom Jesus,3119906,311990
Corrego Fundo,3119955,311995
Corrego Novo,3120003,312000
Couto de Magalhaes de Minas,3120102,312010
Crisolita,3120151,312015
Cristais,3120201,312020
Cristalia,3120300,312030
Cristiano Otoni,3120409,312040
Cristina,3120508,312050
Crucilandia,3120607,312060
Cruzeiro da Fortaleza,3120706,312070
Cruzilia,3120805,312080
Cuparaque,3120839,312083
Curral de Dentro,3120870,312087
Curvelo,3120904,312090
Datas,3121001,312100
Delfim Moreira,3121100,312110
Delfinopolis,3121209,312120
Delta,3121258,312125
Descoberto,3121308,312130
Desterro de Entre Rios,3121407,312140
Desterro do Melo,3121506,312150
Diamantina,3121605,312160
Diogo de Vasconcelos,3121704,312170
Dionisio,3121803,312180
Divinesia,3121902,312190
Divino,3122009,312200
Divino das Laranjeiras,3122108,312210
Divinolandia de Minas,3122207,312220
Divinopolis,3122306,312230
Divisa Alegre,3122355,312235
Divisa Nova,3122405,312240
Divisopolis,3122454,312245
Dom Bosco,3122470,312247
Dom Cavati,3122504,312250
Dom Joaquim,3122603,312260
Dom Silverio,3122702,312270
Dom Vicoso,3122801,312280
Dona Euzebia,3122900,312290
Dores de Campos,3123007,312300
Dores de Guanhaes,3123106,312310
Dores do Indaia,3123205,312320
Dores do Turvo,3123304,312330
Doresopolis,3123403,312340
Douradoquara,3123502,312350
Durande,3123528,312352
Eloi Mendes,3123601,312360
Engenheiro Caldas,3123700,312370
Engenheiro Navarro,3123809,312380
Entre Folhas,3123858,312385
Entre Rios de Minas,3123908,312390
Ervalia,3124005,312400
Esmeraldas,3124104,312410
Espera Feliz,3124203,312420
Espinosa,3124302,312430
Espirito Santo do Dourado,3124401,312440
Estiva,3124500,312450
Estrela Dalva,3124609,312460
Estrela do Indaia,3124708,312470
Estrela do Sul,3124807,312480
Eugenopolis,3124906,312490
